y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
0.4488,3.3655,-2.459,1.074096,0,0.044283,-0.44265,-0.117976,0,0,0.3538,8585.1102
1.3434,3.1951,-2.554,1.135636,0,0.05005,-0.561154,-0.109271,0,0,0.3407,6977.7485
2.2288,3.0264,-2.513,1.182766,0,0.051546,-0.70345,-0.106551,0,0,0.3346,5566.4513
3.099,2.8606,-2.431,1.222247,0,0.051617,-0.86621,-0.10571,0,0,0.331,4351.1424
3.948,2.6988,-2.342,1.255441,0,0.051126,-1.048365,-0.105518,0,0,0.3286,3325.6562
4.77,2.5422,-2.26,1.282897,0,0.050465,-1.249049,-0.105453,0,0,0.3267,2478.902
5.5594,2.3918,-2.202,1.304854,0,0.050019,-1.467126,-0.105339,0,0,0.3253,1796.0058
6.3109,2.2486,-2.175,1.321046,0,0.050036,-1.70011,-0.105048,0,0,0.324,1259.4486
7.0193,2.1137,-2.19,1.330718,0,0.050768,-1.943541,-0.104436,0,0,0.323,850.1355
7.6797,1.9878,-2.26,1.33251,0,0.052498,-2.189998,-0.103342,0,0,0.3221,548.3714
8.2876,1.872,-2.403,1.324225,0,0.055474,-2.427674,-0.101502,0,0,0.3212,334.7183
8.839,1.767,-2.637,1.302634,0,0.059913,-2.639062,-0.09851,0,0,0.3202,190.7165
9.3299,1.6734,-2.984,1.263179,0,0.065783,-2.799135,-0.093796,0,0,0.3189,99.4719
9.7572,1.592,-3.464,1.199937,0,0.072573,-2.875015,-0.086653,0,0,0.317,46.1107
10.1177,1.5233,-4.092,1.106107,0,0.079089,-2.828887,-0.076542,0,0,0.3141,18.1149
10.4092,1.4678,-4.898,0.975288,0,0.083536,-2.627539,-0.063851,0,0,0.3105,5.5407
10.6296,1.4258,-5.947,0.803214,0,0.083647,-2.263137,-0.051324,0,0,0.3087,1.104
10.7773,1.3977,-7.351,0.590169,0,0.07613,-1.799153,-0.048788,0,0,0.3237,0.0852
10.8514,1.3835,-10.011,0.356776,0,0.062982,-1.219125,-0.018238,0,0,0.2891,0
